College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
"Loyola College, Chennai",Tamil Nadu,Commerce,654,670,8.6,8.7,8.2,8.3,8.9,8.4,8.8
Madras Christian College,Tamil Nadu,Commerce,654,670,8.6,8.5,7.9,8.6,8.7,8.4,9.2
"Stella Maris College, Chennai",Tamil Nadu,Commerce,654,670,8.2,8.8,7.5,8.6,8.4,7.6,8.5
"Ethiraj College For Women, Chennai",Tamil Nadu,Commerce,654,670,8.1,8.5,7.3,8.2,7.9,7.9,8.6
Women'S Christian College,Tamil Nadu,Commerce,654,670,8.7,9,7.9,8.8,9.1,8.5,8.9
"M.O.P. Vaishnav College For Women, Chennai",Tamil Nadu,Commerce,654,670,8.5,8.7,8.1,8.7,8.4,8.3,9
"Sri Krishna Arts And Science College, Coimbatore",Tamil Nadu,Commerce,654,670,8.5,8.6,7.8,8.6,8.9,8.7,8.5
"Guru Nanak College, Chennai",Tamil Nadu,Commerce,654,670,7.9,8.2,7.1,8,8.4,7.3,8.5
"Sri Ramakrishna College Of Arts And Science,",Tamil Nadu,Commerce,654,670,8.2,8.2,7.3,8.7,7.7,8.2,8.8
Dr. Sns Rajalakshmi College Of Arts And,Tamil Nadu,Commerce,654,670,8,8.3,7,8,8.3,8.4,7.7
"Presidency College, Chennai",Tamil Nadu,Commerce,654,670,8.2,8.8,7.3,8.9,8.1,7.6,8.6
Vellore Institute Of Technology,Tamil Nadu,Commerce,654,670,8.3,8.3,8,7.8,8.9,8.5,8.5
"Psg College Of Arts And Science, Coimbatore",Tamil Nadu,Commerce,654,670,8.3,8.5,7.9,8.2,8.5,8.2,8.7
"Psgr Krishnammal College For Women, Coimbatore",Tamil Nadu,Commerce,654,670,8.8,9.1,8.3,8.6,8.9,8.7,9
"Scott Christian College, Nagercoil",Tamil Nadu,Commerce,654,670,8.4,8.3,8,8.7,8.8,7.9,8.4
"Government Arts College (Autonomous), Coimbatore",Tamil Nadu,Commerce,654,670,7.7,8.8,6.7,8.5,7.4,6.3,8.6
Srm Institute Of Technology,Tamil Nadu,Commerce,654,670,8,8,7.1,7.6,8.7,8.2,8.6
"Thiagarajar College, Madurai",Tamil Nadu,Commerce,654,670,7.5,7.9,7.1,8,7.1,7.2,7.9
"St. Joseph'S College, Tiruchirappalli",Tamil Nadu,Commerce,654,670,8.6,9.1,7.9,8.7,9.1,8,8.8
Annamalai University,Tamil Nadu,Commerce,654,670,7.4,8.1,6.7,8,7.9,6.5,7.2
"Queen Mary'S College, Chennai",Tamil Nadu,Commerce,654,592,7.6,7.9,6.9,8.3,6.8,7.6,8.2
Bishop Heber College,Tamil Nadu,Commerce,654,670,8.3,8.5,7.8,8.2,8.9,8.1,8.4
"Kongunadu Arts And Science College, Coimbatore",Tamil Nadu,Commerce,654,670,7.3,8,6.7,8.3,7.3,6.3,7
"Cms College Of Science And Commerce, Coimbatore",Tamil Nadu,Commerce,654,670,8.2,8.3,7.4,8.1,8.5,8,8.7
Jamal Mohamed College,Tamil Nadu,Commerce,654,670,8.5,8.8,8.1,8.5,8.6,8.4,8.6
Sri Ramakrishna Mission Vidyalaya College Of Arts,Tamil Nadu,Commerce,654,670,8.6,8.8,7.7,8.9,9,8.1,8.9
"Sastra University, Thanjavur",Tamil Nadu,Commerce,654,670,8.1,8.5,7,8.2,8.3,8.7,8.1
Virudhunagar Hindu Nadar'S Senthikumara Nadar College,Tamil Nadu,Commerce,654,670,8.5,9,8.3,8.4,8.8,7.9,8.6
"Sathyabama Institute Of Science And Technology, Chennai",Tamil Nadu,Commerce,654,670,7.8,7.9,8.4,7.6,7.7,8,7.2
Dr. N.G.P. Arts And Science College,Tamil Nadu,Commerce,654,670,7.6,7.8,7.1,7.5,8.4,7.7,7
"St. Xavier'S College, Mumbai",Maharashtra,Commerce,654,670,8.2,8.7,7.3,8.3,8.8,7.6,8.7
"Narsee Monjee College Of Commerce And Economics,",Maharashtra,Commerce,654,670,8.3,8.7,7.5,8.4,8.5,7.8,8.6
"Ra Podar College Of Commerce And Economics,",Maharashtra,Commerce,654,670,7.7,8.8,6.8,8.1,7.4,7.1,8.2
"Symbiosis College Of Arts And Commerce, Pune",Maharashtra,Commerce,654,670,8.3,8.8,7.5,8.6,7.7,8.2,8.9
"Hr College Of Commerce And Economics, Mumbai",Maharashtra,Commerce,654,670,7.9,8.6,7.2,8.3,6.4,8.5,8.6
K J Somaiya College Of Arts &,Maharashtra,Commerce,654,670,8.1,8.1,8.4,7.8,8.8,7,8.5
"Sydenham College Of Commerce & Economics, Mumbai",Maharashtra,Commerce,654,670,7.8,8.2,7.2,8.1,7.2,7.7,8.4
Kpb Hinduja College Of Commerce,Maharashtra,Commerce,654,670,7.3,7.7,6.6,8.3,6.8,6.2,8.2
"Mithibai College Of Arts, Mumbai",Maharashtra,Commerce,654,670,8.5,8.5,8.3,8.4,8.9,7.6,9
Brihan Maharashtra College Of Commerce,Maharashtra,Commerce,654,670,8.3,8.8,7.2,8.6,8.6,7.6,8.9
Kishinchand Chellaram College,Maharashtra,Commerce,654,670,8.3,8.6,7.9,8.5,8.4,7.4,8.7
"Mulund College Of Commerce, Mumbai",Maharashtra,Commerce,654,670,7.7,8.4,6.9,8.6,7.1,7.2,7.9
B.K Birla College Of Arts Science &,Maharashtra,Commerce,654,670,7.6,8,6.5,8.1,8.1,6.6,8
Kelkar Education Trust'S V.G. Vaze College Of,Maharashtra,Commerce,654,670,8.4,8.9,7.8,8.7,8.7,7.7,8.7
"St. Mira'S College For Girls, Pune",Maharashtra,Commerce,654,670,6.9,7.2,6.1,8.3,6.8,5.6,7.2
Iit Bombay,Maharashtra,Commerce,654,670,8.9,9.3,7.9,8.7,8.9,9.1,9.2
D.G. Ruparel College Of Arts Science And,Maharashtra,Commerce,654,670,7.9,8.3,7.5,8.1,8.6,6.8,8.2
"Ramnarain Ruia Autonomous College, Mumbai",Maharashtra,Commerce,654,670,7.9,8.4,7,8,8.4,6.6,8.9
Savitribai Phule Pune University,Maharashtra,Commerce,654,670,7.6,8.1,7.1,7.9,7.9,6.8,7.5
Jai Hind College,Maharashtra,Commerce,654,670,8.5,8.5,8.3,8.5,8.4,7.8,9.2
"Sophia College For Women, Mumbai",Maharashtra,Commerce,654,670,8.6,9.1,8.4,9.1,9.5,6.6,9
Narsee Monjee Institute Of Management Studies,Maharashtra,Commerce,654,670,8.1,8.4,7.6,8.5,8.1,7.9,8.2
St Andrew'S College Of Arts Science And,Maharashtra,Commerce,654,670,8.2,8.4,7.2,8.3,8.6,7.6,8.8
Modern College Of Arts Science And Commerce,Maharashtra,Commerce,654,670,7.5,8,6.6,8.3,7.3,6.9,7.6
Mumbai University,Maharashtra,Commerce,654,670,7.2,7.6,6.5,7.9,7.4,6.6,7
"Bharati Vidyapeeth New Law College -[Nlc], Pune",Maharashtra,Commerce,654,670,7.1,7.9,6.1,8,6.4,6.5,7.4
Prin. L. N. Welingkar Institute Of Management,Maharashtra,Commerce,654,670,8,8.4,7.4,8.4,8.2,7.8,7.9
National Institute Of Management,Maharashtra,Commerce,654,670,10,8.2,7.4,8.2,8,7.5,8.1
"Wilson College, Mumbai",Maharashtra,Commerce,654,670,7.4,7.7,6.7,7.9,7.7,6.1,8.3
"Elphinstone College, Mumbai",Maharashtra,Commerce,654,670,7.5,8.1,6.8,7.9,7.9,6.5,8
