College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Tamil Nadu Dr Ambedkar Law University,Tamil Nadu,Law,654,670,7.8,8.1,6.6,8.3,8.5,7.2,8
"Saveetha School Of Law, Chennai",Tamil Nadu,Law,654,670,8.2,8.2,7.6,8.5,8.2,8,8.4
Vellore Institute Of Technology,Tamil Nadu,Law,654,670,8.3,8.3,8,7.8,8.9,8.5,8.5
Srm Institute Of Technology,Tamil Nadu,Law,654,670,8,8,7.1,7.6,8.7,8.2,8.6
Annamalai University,Tamil Nadu,Law,654,670,7.4,8.1,6.7,8,7.9,6.5,7.2
"Sastra University, Thanjavur",Tamil Nadu,Law,654,670,8.1,8.5,7,8.2,8.3,8.7,8.1
Dr. N.G.P. Arts And Science College,Tamil Nadu,Law,654,670,7.6,7.8,7.1,7.5,8.4,7.7,7
Karunya Institute Of Technology And Sciences,Tamil Nadu,Law,654,670,7.9,7.9,7.9,7.9,8.5,7.5,7.4
"Vels Institute Of Science, Technology & Advanced",Tamil Nadu,Law,654,670,8.1,8.4,7.5,8.4,8.1,7.8,8.3
Ponnaiyah Ramajayam Institute Of Science And Technology,Tamil Nadu,Law,654,670,6.5,6.8,6.4,6.9,7,5.4,6.3
Hindustan Institute Of Technology And Science,Tamil Nadu,Law,654,670,7.6,7.8,6.9,7.8,7.9,6.9,8
B.S. Abdur Rahman Crescent Institute Of Science,Tamil Nadu,Law,654,670,8.2,8.4,7.8,8.3,8.7,7.7,8.2
"Dr. M.G.R. Educational And Research Institute, Chennai",Tamil Nadu,Law,654,670,7.4,7.6,7.4,7.1,7.8,6.8,7.5
"Alagappa University, Karaikudi",Tamil Nadu,Law,654,670,8.5,8.9,7.9,8.9,8.4,8.2,8.4
Vellore Institute Of Technology,Tamil Nadu,Law,654,670,8.5,8.7,8,8.2,8.8,8.8,8.4
Bharath University,Tamil Nadu,Law,654,670,7.6,7.9,7.1,8.1,7.6,7.8,7
Academy Of Maritime Education And Training University,Tamil Nadu,Law,654,670,7.3,7.5,7,8,7.1,7,7.1
