College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Indian Institute Of Management,Tamil Nadu,Management,654,670,8.8,8.7,8.8,9.1,8.9,8.7,8.8
"Department Of Management Studies, Iit Madras",Tamil Nadu,Management,654,670,9.1,9.2,9.1,9,9.2,9.1,8.7
"Nit Trichy, Tiruchirappalli",Tamil Nadu,Management,654,670,8.5,8.6,7.8,8.2,8.7,8.8,8.7
"Great Lakes Institute Of Management, Chennai",Tamil Nadu,Management,654,670,8.7,8.8,8.7,9.2,9.1,8.1,8.2
Loyola Institute Of Business Administration,Tamil Nadu,Management,654,670,9,9.1,9,9,9,9,9.1
P.S.G College Of Technology,Tamil Nadu,Management,654,670,9,9.2,8.7,8.9,9,9.1,8.8
"Department Of Management Studies, Anna University",Tamil Nadu,Management,654,670,9.4,9.6,9.4,9.4,9.4,9.3,8.1
Vellore Institute Of Technology,Tamil Nadu,Management,654,670,8.3,8.3,8,7.8,8.9,8.5,8.5
Bharathidasan Institute Of Management,Tamil Nadu,Management,654,670,8.6,9,8.7,8.8,8,8.7,8.2
"School Of Management, Srm Ist, Kanchipuram",Tamil Nadu,Management,654,670,9,8.9,9.1,9,9,9,8.1
"Amrita Vishwa Vidyapeetham, Coimbatore",Tamil Nadu,Management,654,670,8.1,8.5,6.6,8.5,8.6,8.2,8
Psg Institute Of Management,Tamil Nadu,Management,654,670,8.7,8.8,8.2,9.2,8.5,8.3,9.3
Hindustan Institute Of Technology And Science,Tamil Nadu,Management,654,670,7.6,7.8,6.9,7.8,7.9,6.9,8
Bannari Amman Institute Of Technology,Tamil Nadu,Management,654,670,8.3,8.2,8.1,8,9.1,8.1,8.2
"Mepco Schlenk Engineering College, Sivakasi",Tamil Nadu,Management,654,670,8.1,8.5,8.1,8.3,8.6,7.9,7
Kongu Engineering College,Tamil Nadu,Management,654,670,8.3,8.3,7.7,8.3,8.9,8.3,8.3
Vel Tech Dr. Rr & Dr. Sr,Tamil Nadu,Management,654,670,8.1,8.2,8.5,8,8.1,7.8,7.8
Bharath University,Tamil Nadu,Management,654,670,7.6,7.9,7.1,8.1,7.6,7.8,7
