College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Institute Of Hotel Management Catering Technology And,Tamil Nadu,Hotel-Management,654,670,8.5,8.5,7.9,8.8,8.6,9.2,8
"Srm Institute Of Hotel Management, Chennai",Tamil Nadu,Hotel-Management,654,670,9.4,9.3,8.5,9.7,9.4,9.9,9.5
"Sri Krishna Arts And Science College, Coimbatore",Tamil Nadu,Hotel-Management,654,670,8.5,8.6,7.8,8.6,8.9,8.7,8.5
"Sri Ramakrishna College Of Arts And Science,",Tamil Nadu,Hotel-Management,654,670,8.2,8.2,7.3,8.7,7.7,8.2,8.8
Dr. Sns Rajalakshmi College Of Arts And,Tamil Nadu,Hotel-Management,654,670,8,8.3,7,8,8.3,8.4,7.7
Bishop Appasamy College Of Arts And Science,Tamil Nadu,Hotel-Management,654,670,7.9,8.3,7.3,8.8,8,7.8,7
V.L.B. Janakiammal College Of Arts And Science,Tamil Nadu,Hotel-Management,654,670,6.6,7,6.7,6.8,6.6,6.1,6.3
"Psg College Of Arts And Science, Coimbatore",Tamil Nadu,Hotel-Management,654,670,8.3,8.5,7.9,8.2,8.5,8.2,8.7
Srm Institute Of Technology,Tamil Nadu,Hotel-Management,654,670,8,8,7.1,7.6,8.7,8.2,8.6
"Cms College Of Science And Commerce, Coimbatore",Tamil Nadu,Hotel-Management,654,670,8.2,8.3,7.4,8.1,8.5,8,8.7
Jamal Mohamed College,Tamil Nadu,Hotel-Management,654,670,8.5,8.8,8.1,8.5,8.6,8.4,8.6
"Kalasalingam Academy Of Research And Education, Krishnankovil",Tamil Nadu,Hotel-Management,654,670,7.7,8,7.4,7.9,8.3,7,7.6
"Nehru Arts And Science College -[Nasc], Coimbatore",Tamil Nadu,Hotel-Management,654,670,8.4,8.4,7.6,8.4,8.7,8.6,8.5
"Vels Institute Of Science, Technology & Advanced",Tamil Nadu,Hotel-Management,654,670,8.1,8.4,7.5,8.4,8.1,7.8,8.3
"Mohamed Sathak College Of Arts And Science,",Tamil Nadu,Hotel-Management,654,670,7.9,8,7.9,8.3,7.7,7.3,8
"Merit Swiss Asian School Of Hotel Management,",Tamil Nadu,Hotel-Management,654,670,7.7,8,7,8,7,7,9
"Dr. M.G.R. Educational And Research Institute, Chennai",Tamil Nadu,Hotel-Management,654,670,7.4,7.6,7.4,7.1,7.8,6.8,7.5
"Hindusthan College Of Arts And Science- [Hicas],",Tamil Nadu,Hotel-Management,654,670,7.5,7.7,6.5,7.4,8.4,7.5,7.3
"Alagappa University, Karaikudi",Tamil Nadu,Hotel-Management,654,670,8.5,8.9,7.9,8.9,8.4,8.2,8.4
Avinashilingam Institute For Home Science And Higher,Tamil Nadu,Hotel-Management,654,670,7.9,8.3,6.9,8.3,8.3,7.7,8
Empee Institute Of Hotel Management And Catering,Tamil Nadu,Hotel-Management,654,670,8.8,8,7.4,8.2,8,7.5,8.1
