College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Jss College Of Pharmacy,Tamil Nadu,Pharmacy,654,670,8.5,8.9,7.6,9,8.7,8.1,8.8
Annamalai University,Tamil Nadu,Pharmacy,654,670,7.4,8.1,6.7,8,7.9,6.5,7.2
"Srm College Of Pharmacy, Kanchipuram",Tamil Nadu,Pharmacy,654,670,7.8,8,7.3,7.5,8,8,8
Sri Ramachandra Institute Of Higher Education And,Tamil Nadu,Pharmacy,654,670,8.5,8.5,7.8,8.7,9.1,7.9,8.7
Psg College Of Pharmacy,Tamil Nadu,Pharmacy,654,670,8.8,8.4,9.3,8.8,9,8.1,9.1
Madras Medical College,Tamil Nadu,Pharmacy,654,670,7,7.2,6,7.7,7.2,6.8,7
"Vels Institute Of Science, Technology & Advanced",Tamil Nadu,Pharmacy,654,670,8.1,8.4,7.5,8.4,8.1,7.8,8.3
"Sri Ramakrishna Institute Of Paramedical Science, College",Tamil Nadu,Pharmacy,654,670,8.1,9,9,8,8,7.5,7
Christian Medical College,Tamil Nadu,Pharmacy,654,670,9,9.3,8.4,9.3,9.3,9.2,8.7
Srm Institute Of Technology,Tamil Nadu,Pharmacy,654,670,8,8,7.1,7.6,8.7,8.2,8.6
"Mohamed Sathak A.J. College Of Pharmacy, Chennai",Tamil Nadu,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
"Sathyabama Institute Of Science And Technology, Chennai",Tamil Nadu,Pharmacy,654,670,7.8,7.9,8.4,7.6,7.7,8,7.2
"Sri Ramachandra Medical College, Chennai",Tamil Nadu,Pharmacy,654,670,8.5,8.5,8.5,8.6,8.8,8.2,8.2
"Kalasalingam Academy Of Research And Education, Krishnankovil",Tamil Nadu,Pharmacy,654,670,7.7,8,7.4,7.9,8.3,7,7.6
The Erode College Of Pharmacy & Research,Tamil Nadu,Pharmacy,654,670,8.1,8.7,7.7,8.5,8.3,7.8,7.7
Karpagam Academy Of Higher Education,Tamil Nadu,Pharmacy,654,670,7.4,7.8,6.8,7.5,7.5,7.1,7.5
Ponnaiyah Ramajayam Institute Of Science And Technology,Tamil Nadu,Pharmacy,654,670,6.5,6.8,6.4,6.9,7,5.4,6.3
B.S. Abdur Rahman Crescent Institute Of Science,Tamil Nadu,Pharmacy,654,670,8.2,8.4,7.8,8.3,8.7,7.7,8.2
"Cl Baid Metha College Of Pharmacy, Chennai",Tamil Nadu,Pharmacy,654,670,7.7,8.4,6.3,8.6,7.9,7.4,7.4
"Rvs College Of Pharmaceutical Science, Coimbatore",Tamil Nadu,Pharmacy,654,670,9,9,7.4,8.2,8,7.5,8.1
"Dr. M.G.R. Educational And Research Institute, Chennai",Tamil Nadu,Pharmacy,654,670,7.4,7.6,7.4,7.1,7.8,6.8,7.5
"Jaya College Of Paramedical Sciences, College Of",Tamil Nadu,Pharmacy,654,670,5,6.5,1,6,5.5,5,6
"Alagappa University, Karaikudi",Tamil Nadu,Pharmacy,654,670,8.5,8.9,7.9,8.9,8.4,8.2,8.4
"Annai Veilankanni Pharmacy College, Saidapet",Tamil Nadu,Pharmacy,654,670,8.2,8.2,7.4,8.2,8,7.5,8.1
Bharath University,Tamil Nadu,Pharmacy,654,670,7.6,7.9,7.1,8.1,7.6,7.8,7
Vinayaka Missions University,Tamil Nadu,Pharmacy,654,670,8,8.2,7.2,8.7,7.6,7.8,8.4
"University Voc College Of Engineering, Anna University",Tamil Nadu,Pharmacy,654,670,4,4,2,7,4,3,4
"Jaya Group Of Institutions, Chennai",Tamil Nadu,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
