College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
"Loyola College, Chennai",Tamil Nadu,Science,654,670,8.6,8.7,8.2,8.3,8.9,8.4,8.8
Madras Christian College,Tamil Nadu,Science,654,670,8.6,8.5,7.9,8.6,8.7,8.4,9.2
"Presidency College, Chennai",Tamil Nadu,Science,654,930,8.2,8.8,7.3,8.9,8.1,7.6,8.6
"Stella Maris College, Chennai",Tamil Nadu,Science,654,670,8.2,8.8,7.5,8.6,8.4,7.6,8.5
"Psg College Of Arts And Science, Coimbatore",Tamil Nadu,Science,654,670,8.3,8.5,7.9,8.2,8.5,8.2,8.7
"Psgr Krishnammal College For Women, Coimbatore",Tamil Nadu,Science,654,670,8.8,9.1,8.3,8.6,8.9,8.7,9
"Ethiraj College For Women, Chennai",Tamil Nadu,Science,654,670,8.1,8.5,7.3,8.2,7.9,7.9,8.6
"Scott Christian College, Nagercoil",Tamil Nadu,Science,654,670,8.4,8.3,8,8.7,8.8,7.9,8.4
Women'S Christian College,Tamil Nadu,Science,654,670,8.7,9,7.9,8.8,9.1,8.5,8.9
"Government Arts College (Autonomous), Coimbatore",Tamil Nadu,Science,654,935,7.7,8.8,6.7,8.5,7.4,6.3,8.6
"Thiagarajar College, Madurai",Tamil Nadu,Science,654,670,7.5,7.9,7.1,8,7.1,7.2,7.9
"St. Joseph'S College, Tiruchirappalli",Tamil Nadu,Science,654,670,8.6,9.1,7.9,8.7,9.1,8,8.8
"Queen Mary'S College, Chennai",Tamil Nadu,Science,622,670,7.6,7.9,6.9,8.3,6.8,7.6,8.2
Bishop Heber College,Tamil Nadu,Science,654,670,8.3,8.5,7.8,8.2,8.9,8.1,8.4
Ayya Nadar Janaki Ammal College,Tamil Nadu,Science,654,670,8,8.5,7.7,8.4,8.5,6.8,7.8
"Kongunadu Arts And Science College, Coimbatore",Tamil Nadu,Science,654,670,7.3,8,6.7,8.3,7.3,6.3,7
"M.O.P. Vaishnav College For Women, Chennai",Tamil Nadu,Science,654,670,8.5,8.7,8.1,8.7,8.4,8.3,9
"Cms College Of Science And Commerce, Coimbatore",Tamil Nadu,Science,654,670,8.2,8.3,7.4,8.1,8.5,8,8.7
"Sri Krishna Arts And Science College, Coimbatore",Tamil Nadu,Science,654,670,8.5,8.6,7.8,8.6,8.9,8.7,8.5
Jamal Mohamed College,Tamil Nadu,Science,654,670,8.5,8.8,8.1,8.5,8.6,8.4,8.6
Sri Ramakrishna Mission Vidyalaya College Of Arts,Tamil Nadu,Science,654,670,8.6,8.8,7.7,8.9,9,8.1,8.9
"Sri Ramakrishna College Of Arts And Science,",Tamil Nadu,Science,654,670,8.2,8.2,7.3,8.7,7.7,8.2,8.8
Virudhunagar Hindu Nadar'S Senthikumara Nadar College,Tamil Nadu,Science,879,670,8.5,9,8.3,8.4,8.8,7.9,8.6
Madras School Of Social Work,Tamil Nadu,Science,654,670,8.1,9,8.2,8.2,6.7,8,8.2
Dr. N.G.P. Arts And Science College,Tamil Nadu,Science,654,670,7.6,7.8,7.1,7.5,8.4,7.7,7
"Guru Nanak College, Chennai",Tamil Nadu,Science,654,670,7.9,8.2,7.1,8,8.4,7.3,8.5
"Vellalar College For Women, Erode",Tamil Nadu,Science,654,670,8.1,8.5,7.6,8.3,8.5,7.7,8.1
"St. Xavier'S College (Autonomous), Palayamkottai",Tamil Nadu,Science,654,670,8.4,8.3,8,8.7,8.6,7.7,8.8
"V. O. Chidambaram College, Thoothukkudi",Tamil Nadu,Science,654,670,7.3,8.3,7.3,7,7.6,5.6,7.7
"Lady Doak College, Madurai",Tamil Nadu,Science,654,670,8.4,9.1,7.2,8.7,8.6,8.4,8.2
"Fergusson College, Pune",Maharashtra,Science,654,670,8.1,8.5,7.3,8.2,8.5,7.1,8.7
"St. Xavier'S College, Mumbai",Maharashtra,Science,654,670,8.2,8.7,7.3,8.3,8.8,7.6,8.7
D.G. Ruparel College Of Arts Science And,Maharashtra,Science,654,670,7.9,8.3,7.5,8.1,8.6,6.8,8.2
"Mithibai College Of Arts, Mumbai",Maharashtra,Science,654,670,8.5,8.5,8.3,8.4,8.9,7.6,9
"Ramnarain Ruia Autonomous College, Mumbai",Maharashtra,Science,654,670,7.9,8.4,7,8,8.4,6.6,8.9
B.K Birla College Of Arts Science &,Maharashtra,Science,654,670,7.6,8,6.5,8.1,8.1,6.6,8
Jai Hind College,Maharashtra,Science,654,670,8.5,8.5,8.3,8.5,8.4,7.8,9.2
Kishinchand Chellaram College,Maharashtra,Science,654,670,8.3,8.6,7.9,8.5,8.4,7.4,8.7
Rajiv Gandhi Institute Of Information Technology And,Maharashtra,Science,654,670,8.3,8.6,7.4,9.6,8.1,7.4,8.8
"Sophia College For Women, Mumbai",Maharashtra,Science,654,670,8.6,9.1,8.4,9.1,9.5,6.6,9
Iit Bombay,Maharashtra,Science,654,670,8.9,9.3,7.9,8.7,8.9,9.1,9.2
Institute Of Chemical Technology,Maharashtra,Science,654,670,8.7,9.1,8.1,8.9,8.7,8.4,9.1
Savitribai Phule Pune University,Maharashtra,Science,654,670,7.6,8.1,7.1,7.9,7.9,6.8,7.5
Dr Dy Patil Vidyapeeth,Maharashtra,Science,654,670,8.4,8.9,8.4,8.4,8.6,7.3,9
"Dy Patil University, Navi Mumbai",Maharashtra,Science,654,670,7.5,7.3,7.1,7.7,7.5,7.4,7.8
"Narsee Monjee College Of Commerce And Economics,",Maharashtra,Science,654,670,8.3,8.7,7.5,8.4,8.5,7.8,8.6
Sp Jain Institute Of Management And Research,Maharashtra,Science,654,670,8.7,9,8.3,9,8.8,9,8.1
Mahatma Phule Krishi Vidyapeeth,Maharashtra,Science,654,670,8.3,8.1,8,8.6,8.7,7.9,8.4
"Jamnalal Bajaj Institute Of Management Studies -[Jbims],",Maharashtra,Science,654,670,8.8,9.1,8.6,9.1,8.7,9.2,8.3
"Ra Podar College Of Commerce And Economics,",Maharashtra,Science,500,670,7.7,8.8,6.8,8.1,7.4,7.1,8.2
