College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Christian Medical College,Tamil Nadu,Medical,654,670,9,9.3,8.4,9.3,9.3,9.2,8.7
Sri Ramachandra Institute Of Higher Education And,Tamil Nadu,Medical,654,670,8.5,8.5,7.8,8.7,9.1,7.9,8.7
Srm Institute Of Technology,Tamil Nadu,Medical,654,670,8,8,7.1,7.6,8.7,8.2,8.6
"Saveetha Medical College, Chennai",Tamil Nadu,Medical,654,670,8.8,9,8.4,8.8,9,8.6,8.7
Annamalai University,Tamil Nadu,Medical,654,670,7.4,8.1,6.7,8,7.9,6.5,7.2
Madras Medical College,Tamil Nadu,Medical,654,670,7,7.2,6,7.7,7.2,6.8,7
Psg Institute Of Medical Sciences And Research,Tamil Nadu,Medical,654,670,8.2,8.9,7.9,8.7,8.4,7.9,7.1
"Sri Ramachandra Medical College, Chennai",Tamil Nadu,Medical,654,670,8.5,8.5,8.5,8.6,8.8,8.2,8.2
"College Of Engineering, Anna University",Tamil Nadu,Medical,654,670,8.4,8.7,7.7,8.1,8.7,8.3,8.7
Madras Christian College,Tamil Nadu,Medical,654,670,8.6,8.5,7.9,8.6,8.7,8.4,9.2
Women'S Christian College,Tamil Nadu,Medical,654,670,8.7,9,7.9,8.8,9.1,8.5,8.9
"Saveetha Dental College & Hospital, Chennai",Tamil Nadu,Medical,654,670,7.9,7.7,7,8.8,7.3,8.5,8
Bishop Heber College,Tamil Nadu,Medical,654,670,8.3,8.5,7.8,8.2,8.9,8.1,8.4
Dr. N.G.P. Arts And Science College,Tamil Nadu,Medical,654,670,7.6,7.8,7.1,7.5,8.4,7.7,7
Anna University,Tamil Nadu,Medical,654,670,7.7,8,7.2,7.6,8.1,7.7,7.8
"Lady Doak College, Madurai",Tamil Nadu,Medical,654,670,8.4,9.1,7.2,8.7,8.6,8.4,8.2
Sree Balaji Medical College And Hospital,Tamil Nadu,Medical,654,670,8.6,8.9,8.3,9.1,8.1,8.9,8.5
"Holy Cross College (Autonomous), Tiruchirappalli",Tamil Nadu,Medical,654,670,8.7,9.3,8.4,9,9.1,7.9,8.7
"Vels Institute Of Science, Technology & Advanced",Tamil Nadu,Medical,654,670,8.1,8.4,7.5,8.4,8.1,7.8,8.3
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Tamil Nadu,Medical,654,670,7.2,7.7,6.4,7.6,7.6,6.6,7.3
Hindustan Institute Of Technology And Science,Tamil Nadu,Medical,654,670,7.6,7.8,6.9,7.8,7.9,6.9,8
"Mohamed Sathak College Of Arts And Science,",Tamil Nadu,Medical,654,670,7.9,8,7.9,8.3,7.7,7.3,8
"Dr. M.G.R. Educational And Research Institute, Chennai",Tamil Nadu,Medical,654,670,7.4,7.6,7.4,7.1,7.8,6.8,7.5
"Hindusthan College Of Arts And Science- [Hicas],",Tamil Nadu,Medical,654,670,7.5,7.7,6.5,7.4,8.4,7.5,7.3
"Alagappa University, Karaikudi",Tamil Nadu,Medical,654,670,8.5,8.9,7.9,8.9,8.4,8.2,8.4
Avinashilingam Institute For Home Science And Higher,Tamil Nadu,Medical,654,670,7.9,8.3,6.9,8.3,8.3,7.7,8
Bharathiar University,Tamil Nadu,Medical,654,670,7.8,8,7.6,8.1,7.7,7.5,7.9
Bharath University,Tamil Nadu,Medical,654,670,7.6,7.9,7.1,8.1,7.6,7.8,7
Vinayaka Missions University,Tamil Nadu,Medical,654,670,8,8.2,7.2,8.7,7.6,7.8,8.4
All India Institute Of Management Studies,Tamil Nadu,Medical,654,670,9.3,9.3,9.7,9,9.3,9.3,9
Dr Dy Patil Vidyapeeth,Maharashtra,Medical,654,670,8.4,8.9,8.4,8.4,8.6,7.3,9
Armed Forces Medical College,Maharashtra,Medical,654,670,9.7,9.4,9.7,9.7,9.6,9.9,9.9
Grant Medical College And Sir J. J.,Maharashtra,Medical,654,670,8.8,8.5,8.2,8.4,9.1,9.1,9.7
Seth Gs Medical College,Maharashtra,Medical,654,670,8,8.8,6.7,7.6,8,8.2,8.4
Mahatma Gandhi Institute Of Medical Sciences,Maharashtra,Medical,654,670,8.1,8.7,7.9,7.9,7.7,8.6,7.5
"Lokmanya Tilak Municipal Medical College-[Ltmmc], Mumbai",Maharashtra,Medical,654,670,7.2,8.2,5,7.7,6.3,8.3,7.7
Byramjee Jeejeebhoy Government Medical College,Maharashtra,Medical,654,670,8.2,8.2,7.4,8.5,7.8,8.4,8.8
K.J. Somaiya Medical College & Research Centre,Maharashtra,Medical,654,670,7.6,8.3,6.5,8.6,6,8.8,7.6
Dr Dy Patil Medical College Hospital And,Maharashtra,Medical,654,670,7.6,7.9,6.6,7.6,7.9,7.5,8
"Government Medical College And Hospital, Aurangabad",Maharashtra,Medical,654,670,8.1,8.8,7.4,8.4,7.6,8.6,7.7
"Government Medical College, Latur",Maharashtra,Medical,654,670,7.9,7.5,7.5,8.2,7.5,8.7,7.8
"Mgm Medical College, Navi Mumbai",Maharashtra,Medical,654,670,7.2,7.8,6,7.7,7,7.5,7
"D Y Patil Medical College, Kolhapur",Maharashtra,Medical,654,670,6.7,7,5.6,7.4,6.4,6.6,7
"St. Xavier'S College, Mumbai",Maharashtra,Medical,654,670,8.2,8.7,7.3,8.3,8.8,7.6,8.7
"Shailesh J. Mehta School Of Management, Iit",Maharashtra,Medical,654,670,8,8.3,7.9,8.5,8.5,8.4,6.6
Savitribai Phule Pune University,Maharashtra,Medical,654,670,7.6,8.1,7.1,7.9,7.9,6.8,7.5
"Dy Patil University, Navi Mumbai",Maharashtra,Medical,654,670,7.5,7.3,7.1,7.7,7.5,7.4,7.8
Narsee Monjee Institute Of Management Studies,Maharashtra,Medical,654,670,8.1,8.4,7.6,8.5,8.1,7.9,8.2
Mumbai University,Maharashtra,Medical,654,670,7.2,7.6,6.5,7.9,7.4,6.6,7
Maharashtra Institute Of Medical Education And Research,Maharashtra,Medical,654,670,8.1,8.8,8.3,8,8.5,7.6,7.5
Smt Kashibai Navale Medical College And General,Maharashtra,Medical,654,670,7.2,7.4,6.4,8,7.6,7,7
Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra,Medical,654,670,7.5,8,7.2,7.7,7.9,6.9,7.4
Dr. Vithalrao Vikhe Patil Foundation'S Medical College,Maharashtra,Medical,654,670,8.3,8.5,7.4,8.6,9.4,8.3,7.4
Bharati Vidyapeeth Deemed University,Maharashtra,Medical,654,670,7.8,8.1,6.8,7.9,8.1,7.7,8.2
"Yashwantrao Chavan Maharashtra Open University- [Ycmou], Nashik",Maharashtra,Medical,654,670,7.4,8.5,6.3,7.6,7.9,7.5,6.4
Krishna Institute Of Medical Sciences University,Maharashtra,Medical,654,670,8.1,8.4,7,7.8,9.1,8.2,8.3
Indira Gandhi Government Medical College & Hospital,Maharashtra,Medical,654,670,8,8.9,8.1,8,7.5,8.3,7.4
Shivaji University,Maharashtra,Medical,654,670,7.6,7.9,7.2,8.1,8.1,6.3,8
Mit World Peace University,Maharashtra,Medical,654,670,8,8.1,7,8,8.5,7.7,8.4
Tata Institute Of Social Sciences,Maharashtra,Medical,654,670,8.6,9,8.1,8.9,8.6,8.4,8.6
Sanjay Gandhi Postgraduate Institute Of Medical Sciences,Uttar Pradesh,Medical,654,670,7.5,7,6.2,8.2,8.2,7.8,7.8
Banaras Hindu University,Uttar Pradesh,Medical,654,670,8.3,8.7,8.1,8.4,8.8,7.2,8.6
King George'S Medical University,Uttar Pradesh,Medical,654,670,8.9,9.3,8.2,9.1,9.4,9.1,8.4
Aligarh Muslim University,Uttar Pradesh,Medical,654,670,8.3,8.8,7.9,8.5,8.8,7.2,8.6
"Era'S Lucknow Medical College And Hospital, Lucknow",Uttar Pradesh,Medical,654,670,7,7.7,6.2,7.5,7.7,7,5.8
Institute Of Medical Sciences,Uttar Pradesh,Medical,654,670,8.6,9.2,7.5,8.9,8.2,9.2,8.4
Shri Ram Murti Smarak Institute Of Medical,Uttar Pradesh,Medical,654,670,5.7,6,3,7,6,6,6
Jawahar Lal Nehru Medical College,Uttar Pradesh,Medical,654,670,8.4,9.1,8,8.8,8.5,9,7
"Amity University, Noida",Uttar Pradesh,Medical,654,670,8.2,8,7.9,8.1,8.9,7.6,8.7
"Amity University, Lucknow",Uttar Pradesh,Medical,654,670,8.1,8,7.6,8.1,8.8,7.1,8.8
Baba Raghav Das Medical College,Uttar Pradesh,Medical,654,670,8.4,8.6,7.7,8.3,8.5,8.7,8.3
Sam Higginbottom University Of Agriculture Technology And,Uttar Pradesh,Medical,654,670,7.2,7.6,6.6,7.5,7.5,6,7.9
Ewing Christian College,Uttar Pradesh,Medical,654,670,7,8.2,5.7,7.9,7.5,5.1,7.8
Teerthanker Mahaveer University,Uttar Pradesh,Medical,654,670,8.1,8.3,7.6,8.2,8.7,7.3,8.3
Mangalayatan University,Uttar Pradesh,Medical,654,670,7.9,7.8,7.8,8.2,8.4,7.1,8.1
Institute Of Technology And Science,Uttar Pradesh,Medical,654,670,8.2,8.6,7.5,8.3,8.6,7.9,8.1
Dav College,Uttar Pradesh,Medical,654,670,6.7,7.5,5.6,7.3,7,5.8,7.1
"Teerthanker Mahaveer University, College Of Architecture",Uttar Pradesh,Medical,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Chhatrapati Shahu Ji Maharaj University,Uttar Pradesh,Medical,654,670,7.1,7.2,6.6,7.5,8,5.8,7.7
University Of Lucknow,Uttar Pradesh,Medical,654,670,7.4,7.9,7,7.8,7.7,6.1,7.6
Narendra Deva University Of Agriculture And Technology,Uttar Pradesh,Medical,654,670,7.1,7.4,7.1,7.9,7.1,6.2,7
J.S. University,Uttar Pradesh,Medical,654,670,8.5,8.5,7.8,8.7,9,8.2,8.6
Institute Of Applied Medicines And Research,Uttar Pradesh,Medical,654,670,9.6,8.2,7.4,8.2,8,7.5,8.1
Sharda University,Uttar Pradesh,Medical,654,670,7.9,7.7,7.6,7.9,8.6,6.9,8.6
Galgotias University,Uttar Pradesh,Medical,654,670,7.6,7.9,6.9,7.9,7.5,7.7,7.8
Annie Besant College Of Engineering And Management,Uttar Pradesh,Medical,654,670,7,8,6,7,9,7,5
"Rama University, Kanpur",Uttar Pradesh,Medical,654,670,6.7,6.6,6.1,7.3,6.5,6.6,7.1
