College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Indian Institute Of Technology Madras,Tamil Nadu,Engineering,654.0,670.0,8.7,9.0,7.9,8.7,8.8,8.8,9.0
"College Of Engineering, Anna University",Tamil Nadu,Engineering,654.0,670.0,8.4,8.7,7.7,8.1,8.7,8.3,8.7
"Nit Trichy, Tiruchirappalli",Tamil Nadu,Engineering,654.0,670.0,8.5,8.6,7.8,8.2,8.7,8.8,8.7
Vellore Institute Of Technology,Tamil Nadu,Engineering,654.0,670.0,8.3,8.3,8.0,7.8,8.9,8.5,8.5
"Srm Engineering College, Kanchipuram",Tamil Nadu,Engineering,654.0,670.0,7.2,6.5,6.6,6.9,7.6,7.1,8.3
Ssn College Of Engineering,Tamil Nadu,Engineering,654.0,670.0,8.6,8.9,7.6,8.7,9.1,8.3,8.8
"Sastra University, Thanjavur",Tamil Nadu,Engineering,654.0,670.0,8.1,8.5,7.0,8.2,8.3,8.7,8.1
P.S.G College Of Technology,Tamil Nadu,Engineering,654.0,670.0,9.0,9.2,8.7,8.9,9.0,9.1,8.8
Thiagarajar College Of Engineering,Tamil Nadu,Engineering,654.0,670.0,8.6,8.9,7.9,8.6,8.6,8.7,8.6
Coimbatore Institute Of Technology,Tamil Nadu,Engineering,654.0,670.0,8.0,8.5,6.8,8.2,7.4,8.4,8.5
Karunya Institute Of Technology And Sciences,Tamil Nadu,Engineering,654.0,670.0,7.9,7.9,7.9,7.9,8.5,7.5,7.4
Kumaraguru College Of Technology,Tamil Nadu,Engineering,654.0,670.0,8.2,8.3,7.6,8.0,8.8,7.9,8.5
"Vel Tech, Chennai",Tamil Nadu,Engineering,654.0,670.0,8.2,8.5,8.5,8.1,7.8,8.3,8.1
"Mepco Schlenk Engineering College, Sivakasi",Tamil Nadu,Engineering,654.0,670.0,8.1,8.5,8.1,8.3,8.6,7.9,7.0
Government College Of Technology,Tamil Nadu,Engineering,654.0,670.0,8.1,8.4,7.1,8.3,8.0,8.0,8.8
Hindustan Institute Of Technology And Science,Tamil Nadu,Engineering,654.0,670.0,7.6,7.8,6.9,7.8,7.9,6.9,8.0
Sri Krishna College Of Engineering And Technology,Tamil Nadu,Engineering,654.0,670.0,8.1,8.2,7.4,8.2,9.0,8.2,7.7
Kongu Engineering College,Tamil Nadu,Engineering,654.0,670.0,8.3,8.3,7.7,8.3,8.9,8.3,8.3
Bannari Amman Institute Of Technology,Tamil Nadu,Engineering,654.0,670.0,8.3,8.2,8.1,8.0,9.1,8.1,8.2
"Sona College Of Technology, Salem",Tamil Nadu,Engineering,654.0,670.0,8.1,8.5,7.3,8.3,8.3,7.9,8.5
Tamil Nadu Veterinary And Animal Sciences University,Tamil Nadu,Engineering,654.0,670.0,8.3,8.4,8.0,8.4,8.2,8.2,8.4
"St. Joseph College Of Engineering, Kanchipuram",Tamil Nadu,Engineering,654.0,670.0,8.0,7.0,7.4,8.2,9.0,8.0,8.1
Saveetha Engineering College,Tamil Nadu,Engineering,654.0,670.0,8.0,8.1,7.3,8.1,8.6,7.7,7.9
"Sri Sairam Engineering College, Chennai",Tamil Nadu,Engineering,654.0,670.0,7.7,8.4,7.3,7.9,8.2,7.9,6.7
B.S. Abdur Rahman Crescent Institute Of Science,Tamil Nadu,Engineering,654.0,670.0,8.2,8.4,7.8,8.3,8.7,7.7,8.2
Sri Ramakrishna Engineering College,Tamil Nadu,Engineering,654.0,670.0,8.1,8.4,7.7,8.0,8.3,8.3,8.0
Rajalakshmi Engineering College,Tamil Nadu,Engineering,654.0,670.0,7.8,8.1,6.3,8.1,8.0,8.3,7.7
Sri Venkateswara College Of Engineering,Tamil Nadu,Engineering,654.0,670.0,8.2,8.4,7.4,8.4,8.6,8.1,8.0
Iit Bombay,Maharashtra,Engineering,654.0,670.0,8.9,9.3,7.9,8.7,8.9,9.1,9.2
Institute Of Chemical Technology,Maharashtra,Engineering,654.0,670.0,8.7,9.1,8.1,8.9,8.7,8.4,9.1
Visvesvaraya National Institute Of Technology,Maharashtra,Engineering,654.0,670.0,8.1,8.3,7.5,8.0,8.4,7.7,8.7
College Of Engineering,Maharashtra,Engineering,654.0,670.0,8.6,8.7,8.2,8.1,8.5,8.7,9.1
Defence Institute Of Advanced Technology,Maharashtra,Engineering,654.0,670.0,8.8,9.0,8.6,8.8,9.0,8.6,8.6
National Institute Of Industrial Engineering,Maharashtra,Engineering,654.0,670.0,9.0,9.0,9.0,9.0,9.0,9.3,8.6
Army Institute Of Technology,Maharashtra,Engineering,654.0,670.0,8.3,8.0,8.5,7.6,7.9,8.7,9.0
Bharati Vidyapeeth Deemed University,Maharashtra,Engineering,654.0,670.0,7.8,8.1,6.8,7.9,8.1,7.7,8.2
Veermata Jijabai Technological Institute,Maharashtra,Engineering,654.0,670.0,7.9,8.2,7.2,7.8,7.1,8.7,8.4
Gh Raisoni College Of Engineering,Maharashtra,Engineering,654.0,670.0,8.4,8.5,8.0,8.4,8.5,8.0,8.8
Mukesh Patel School Of Technology Management And,Maharashtra,Engineering,654.0,670.0,8.2,8.1,8.0,7.8,8.7,8.1,8.3
Sardar Patel Institute Of Technology,Maharashtra,Engineering,654.0,670.0,8.1,8.4,6.9,7.9,8.3,9.1,8.1
Shri Ramdeobaba College Of Engineering And Management,Maharashtra,Engineering,654.0,670.0,8.1,8.3,7.6,8.0,7.9,8.3,8.2
Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra,Engineering,654.0,670.0,7.5,8.0,7.2,7.7,7.9,6.9,7.4
Yeshwantrao Chavan College Of Engineering,Maharashtra,Engineering,654.0,670.0,7.6,7.7,7.0,7.6,8.2,7.2,7.6
Walchand College Of Engineering,Maharashtra,Engineering,654.0,670.0,8.3,8.4,7.3,8.3,8.4,8.8,8.4
Mit World Peace University,Maharashtra,Engineering,654.0,670.0,8.0,8.1,7.0,8.0,8.5,7.7,8.4
Vishwakarma Institute Of Information Technology,Maharashtra,Engineering,654.0,670.0,7.8,8.2,6.8,8.1,7.4,8.0,8.1
Ramrao Adik Institute Of Technology,Maharashtra,Engineering,654.0,670.0,8.6,8.2,8.0,8.1,9.0,8.7,9.3
Sardar Patel College Of Engineering,Maharashtra,Engineering,654.0,670.0,8.0,8.3,7.2,7.9,8.0,8.1,8.2
K. J. Somaiya College Of Engineering,Maharashtra,Engineering,654.0,670.0,8.2,8.2,8.0,7.7,8.7,8.0,8.5
Pimpri Chinchwad College Of Engineering,Maharashtra,Engineering,654.0,670.0,8.1,8.7,7.6,8.1,7.9,8.6,7.5
"Mksss'S Cummins College Of Engineering For Women,",Maharashtra,Engineering,654.0,670.0,8.3,8.3,8.0,8.1,7.8,9.0,8.6
Dwarkadas J Sanghvi College Of Engineering,Maharashtra,Engineering,654.0,670.0,8.2,8.2,7.7,8.2,8.4,8.3,8.2
